Function,Dimensions,Fitness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mean,Std. Dev.
Griewangk,20,377.4398564,287.9648295,413.7062258,397.2645391,364.1718005,462.7301017,326.4588224,496.4424591,455.7587637,491.78017,458.4841551,452.5802795,362.7457141,350.6701603,485.9891899,389.4594688,405.8196195,388.1255604,251.4400839,330.2973378,516.3090423,340.2021457,459.3329243,356.9689442,381.9907065,365.7430972,523.014371,257.5369684,353.9222264,263.9029011,,392.2750822,76.01931184
Griewangk,30,635.1281941,541.0348644,606.9194625,657.1558302,585.7131098,751.8151569,861.3824451,679.6207035,567.4473362,680.3919852,514.506366,549.1555237,545.8534768,542.2652297,574.2515755,571.9888733,806.190528,543.474729,804.0755616,770.1240461,822.9677582,637.4572258,663.9283898,649.4833529,531.4080695,771.6135087,582.5530281,662.52877,615.7600651,513.8995308,,641.3364899,101.6739106
Sine Envelope Sine Wave,10,-6.430996891,-6.307574356,-6.312855659,-6.551707325,-8.159051241,-6.556350121,-7.123084287,-7.33305819,-6.449570594,-6.377976111,-6.109215121,-6.516125135,-6.312004304,-6.422982364,-6.111548181,-6.610567346,-6.994825711,-5.751022941,-8.363410887,-5.866411032,-6.412671583,-7.170347965,-7.227488844,-7.854519336,-6.515213414,-6.496365709,-6.051651303,-7.428279703,-5.947916621,-7.321726459,,-6.702883958,0.659173444
Sine Envelope Sine Wave,20,-13.42981095,-14.55380657,-15.01679772,-14.33214297,-12.17809752,-13.17741,-14.05536474,-13.0353295,-14.51802074,-14.33598731,-13.38129525,-13.35206728,-13.91254513,-13.80812166,-14.32457186,-15.15110843,-12.89942588,-14.74613258,-13.04968368,-14.39766673,-13.12970489,-15.34484148,-13.25760205,-12.9187863,-12.40149573,-15.15191048,-14.24703108,-16.37947725,-13.76025255,-14.34465749,,-13.95303819,0.950406848
Sine Envelope Sine Wave,30,-21.66656992,-22.19136082,-20.72477464,-20.77838878,-19.32243712,-20.64980164,-20.90740042,-21.29505088,-20.9286528,-22.66170142,-19.6098162,-19.46693943,-22.7499824,-20.62514748,-20.15196636,-20.77910938,-20.84535562,-20.12937561,-20.39220452,-22.29212056,-20.11804738,-20.44562196,-22.06766481,-18.99807457,-20.48230366,-23.90347492,-20.78218228,-20.17855573,-21.14879241,-19.29161568,,-20.85281631,1.126576056
Stretched V Sine Wave,10,22.30929897,24.12323639,30.02199817,33.96128387,28.85604752,30.25576084,21.52115053,32.31133005,25.31332994,28.28855577,27.2830179,18.21027599,25.24309321,21.6858578,34.83263779,26.98457474,22.05098342,24.44380595,35.78025612,23.41257508,35.41958534,26.0609089,22.49170573,28.65337505,36.11711242,33.29119184,25.99925307,26.69307795,25.71508815,30.9991475,,27.61098387,4.844925946
Stretched V Sine Wave,20,64.82134741,74.41550979,60.78874827,69.87357734,70.62256932,60.20003609,60.86020505,67.38460328,66.01369021,63.45365842,76.01564697,64.04725724,53.49606238,56.29469836,52.7380845,57.10618209,46.5183118,62.83387204,53.19225528,74.57528343,58.55710582,76.08186639,78.70869052,65.66807874,58.23536211,64.29547073,66.45943791,79.92106216,72.64431384,65.70861069,,64.71771994,8.328900567
Stretched V Sine Wave,30,88.79543102,113.009644,107.0005257,93.30529722,95.97344261,103.3078878,91.39259005,96.95420572,98.92388463,99.18420017,84.46630302,91.05910465,100.4780253,102.7032884,101.9629569,102.9212265,94.93161799,82.18356639,103.4370391,100.8994008,101.0104705,117.5336461,116.6617953,94.32791688,103.076017,100.0724302,104.1631788,89.34590304,106.6214912,106.1843721,,99.72956197,8.379573659
Ackey's One,10,198.1768955,167.1407868,186.1052922,247.4649102,192.5762588,190.019477,189.225931,179.8040955,214.5445419,157.8671633,169.1304744,165.2491238,179.8077672,176.4080668,207.4512013,151.0176486,157.4927316,164.4347463,223.7512735,222.739051,211.9793641,171.2792945,206.4437154,198.1495633,252.7085539,231.3763533,99.12224268,227.7742051,192.2674618,185.1148728,,190.5541021,31.76169611
Ackey's One,20,284.8559821,342.6268355,394.501283,380.0654162,258.0002001,392.9642414,322.7171183,434.4010052,425.602226,387.5494555,382.8413394,408.6732558,380.2862458,378.9926256,374.5768579,460.9269557,422.267628,389.6824138,368.088792,328.8047456,377.3628592,406.3420115,406.9242891,339.1609361,318.0224093,396.5996456,417.2173521,380.6379083,374.0493201,360.1860288,,376.4975794,43.46927331
