Schwefel,10,123149761,-5.63E+39,-4.89E+43,-1.11E+40,-3.82E+39,-2.50E+36,-6.67E+37,-4.75E+40,-5.02E+37,-4.33E+38,-5.03E+41,-2.06E+39,-1.41E+41,-4.51E+40,-1.58E+42,-7.01E+41,-4.82E+42,-1.45E+44,-6.84E+39,-2.25E+39,-2.33E+39,-6.07E+33,-8.18E+33,-4.41E+42,-1.25E+39,-1.97E+44,-3.34E+40,-2.39E+38,-1.30E+40,-2.21E+41,-2.28E+36,,-1.3E+43,-9.0E+39,2.0E+44,4.4E+43,1.2E+02,-7.3E+42,-9.0E+39,8.8E+43,2.2E+43,2.6E+02,-1.7E+43,-1.6E+40,3.1E+44,5.9E+43,3.5E+02
1st De Jong,10,14268306,4251.114343,3958.530542,5368.810204,5531.87435,2861.936549,4167.058144,6099.125261,5408.908974,3615.882408,4483.0761,4214.695852,5425.877195,4150.585517,3709.030465,5189.463437,2316.883536,4694.730242,2535.571894,5351.605156,3254.71149,6553.75211,4877.785288,3379.574291,5780.125075,5040.706289,2733.187667,3211.17685,4730.657615,4112.062743,5559.778261,,4.4E+03,4.4E+03,4.2E+03,1.1E+03,1.4E+01,3.7E+04,3.9E+04,3.0E+04,6.3E+03,2.3E+01,6.5E+04,6.5E+04,2.2E+04,6.0E+03,2.7E+01
Rosenbrock,10,17320675,205088.5699,-2311606.702,290262.8739,-1492026.866,301606.5795,-2.59E+08,-935512.8714,52178.74923,-3.57E+08,-19194.29286,-1065230.596,171044.3086,-5938707.796,-4.58E+07,-2.63E+07,-7916561.104,-1263012.997,-5.02E+07,-2.87E+07,-1.08E+07,-3999787.944,-2.05E+07,-133424.1159,-5.72E+07,-3390879.151,278791.4547,-1203327.245,31295.74322,-3055835.585,-3646526.758,,-3.0E+07,-2.7E+06,3.6E+08,7.8E+07,1.7E+01,3.4E+06,3.5E+06,2.8E+06,6.1E+05,2.5E+01,6.1E+06,6.1E+06,3.2E+06,7.2E+05,3.0E+01
Rastrigin,10,56387102,11828.26783,7214.691229,10958.16051,8741.438503,6080.828693,5740.012702,2117.505578,3129.837679,7554.440523,5432.142915,8711.072039,6556.621153,8465.058447,10745.25816,5643.066404,5691.351035,11798.29638,7062.24394,5064.318466,5816.310031,8194.366674,6833.356598,14545.463,6779.665046,6101.342392,11207.83874,5166.622637,7909.706223,8674.304355,5164.042477,,7.5E+03,6.9E+03,1.2E+04,2.7E+03,5.6E+01,1.3E+05,1.3E+05,6.5E+04,1.5E+04,1.1E+02,3.5E+05,3.5E+05,1.8E+05,4.2E+04,1.6E+02
Griewangk,10,101349825,27.85085352,36.86109059,47.13369635,31.59335578,22.47597363,34.91160146,29.05321836,18.51141472,33.7742561,47.41317899,47.30186021,30.78622189,12.35469195,30.33399291,39.20020486,34.22856672,28.88481733,15.97321437,8.625658922,23.21619114,42.99161899,19.67453674,23.80708101,33.8275774,29.45738225,32.68874423,5.212418824,32.28853225,43.49286176,26.80391552,,3.0E+01,3.1E+01,4.2E+01,1.1E+01,1.0E+02,2.3E+02,2.4E+02,1.3E+02,3.4E+01,2.0E+02,4.0E+02,4.1E+02,1.8E+02,4.5E+01,3.2E+02
Sine Envelope Sine Wave,10,70485260,-8.372425061,-9.446044527,-9.451342069,-9.539104468,-8.968798661,-9.154947345,-10.08735319,-9.194950271,-8.750293035,-9.984920045,-9.652037004,-9.047060222,-8.957563282,-9.395860367,-9.12983308,-8.916397203,-9.684751254,-9.330570727,-9.379143988,-9.151863886,-8.937457126,-9.111501893,-9.026405808,-8.819029338,-8.541214343,-9.13268067,-9.742159198,-8.601341253,-8.941609163,-8.896719768,,-9.2E+00,-9.1E+00,1.7E+00,4.1E-01,7.0E+01,-1.7E+01,-1.7E+01,2.9E+00,6.4E-01,1.6E+02,-2.5E+01,-2.5E+01,3.3E+00,7.4E-01,2.1E+02
Stretched V Sine Wave,10,191149083,14.1395227,16.62354936,13.86530438,14.49794513,14.54454143,16.72760096,13.37359329,16.3314122,13.40303882,16.44624702,14.13361266,17.91664021,13.47103491,14.60081119,13.44895211,15.45517484,15.49451954,12.94342141,14.17434221,15.53009611,13.65117383,15.41220691,14.59581763,13.43116811,15.52960542,15.95433995,12.65570083,15.62873921,16.48060935,16.32460461,,1.5E+01,1.5E+01,5.3E+00,1.3E+00,1.9E+02,4.3E+01,4.3E+01,1.1E+01,2.8E+00,4.3E+02,7.3E+01,7.2E+01,2.0E+01,4.4E+00,6.0E+02
Ackey's One,10,136487036,58.71564876,51.84413747,51.0201111,46.6707845,59.83916105,71.92897677,67.58387408,54.99942966,52.30559405,72.47798613,77.30172959,47.82400579,51.79940859,53.59520192,45.08787451,65.29349025,88.69067827,65.92916731,71.936445,64.99696451,84.33460419,50.52360884,69.27987679,72.53058055,38.28579519,33.67341719,41.04752666,59.68434957,52.62223544,73.09536439,,6.0E+01,5.9E+01,5.5E+01,1.3E+01,1.4E+02,2.6E+02,2.6E+02,9.3E+01,2.4E+01,2.9E+02,4.5E+02,4.5E+02,1.2E+02,2.6E+01,5.2E+02
Ackey's Two,10,195716038,42.54322655,84.05516608,26.96396059,126.0930689,21.77714322,120.7098903,119.6790134,113.3362192,74.95466238,82.4965701,-4139.286564,82.70268204,93.180582,4.273744938,121.4645653,-1353.440284,72.71431109,85.01511449,96.02876705,62.33874313,104.8913516,20.62728622,-128.9278802,89.79767621,128.4333332,-131.2842184,-150.0874949,91.92077722,-41.21633298,139.3852754,,-1.3E+02,8.3E+01,4.3E+03,8.0E+02,2.0E+02,2.4E+02,2.6E+02,3.1E+02,8.2E+01,4.7E+02,4.2E+02,4.6E+02,6.7E+02,1.3E+02,6.6E+02
Egg Holder,10,209831239,-2.55E+35,-1.61E+43,-2.97E+34,-1.05E+38,-1.75E+34,-2.00E+33,-4.92E+37,-7.20E+36,-1.53E+35,-1.00E+34,-8.04E+35,-5.01E+34,-1.85E+34,-4.94E+35,-1.01E+36,-4.02E+34,-9.13E+35,-8.18E+33,-2.65E+36,-1.51E+35,-1.04E+37,-5.91E+38,-1.12E+33,-1.00E+38,-2.16E+36,-1.38E+34,-3.33E+37,-3.82E+38,-7.67E+39,-2.01E+39,,-5.4E+41,-8.6E+35,1.6E+43,2.9E+42,2.1E+02,-5.4E+42,-3.0E+36,1.5E+44,2.7E+43,8.0E+02,-1.3E+42,-4.6E+36,3.8E+43,7.0E+42,7.4E+02
Rana,10,392519409,-2.96E+34,-2.69E+33,-1.10E+34,-1.83E+35,-2.11E+32,-5.04E+36,-1.19E+39,-2.03E+36,-1.58E+35,-6.13E+36,-8.75E+35,-1.65E+41,-5.58E+36,-3.69E+39,-2.40E+37,-1.26E+37,-2.84E+39,-1.49E+32,-5.60E+35,-5.37E+34,-3.80E+34,-4.35E+33,-1.36E+42,-8.53E+37,-9.58E+36,-1.62E+38,-1.07E+34,-3.20E+36,-1.04E+38,-1.42E+35,,-5.1E+40,-2.6E+36,1.4E+42,2.5E+41,3.9E+02,-9.6E+39,-1.1E+36,1.3E+41,3.0E+40,1.3E+03,-2.4E+41,-1.8E+36,4.4E+42,9.3E+41,1.2E+03
Pathological,10,99582291,3.537762265,3.847000279,3.668914994,3.173863641,3.75419803,3.95054403,3.63238253,3.804977724,3.657466166,3.741367907,3.712144951,3.64727246,3.536513035,3.512257351,3.718846123,3.64359852,3.518023464,4.000485257,3.535981221,3.573741421,3.850772047,3.514886113,3.605572249,3.830329837,3.664890112,3.677692056,3.492283621,3.707924858,3.816254066,3.420531154,,3.7E+00,3.7E+00,8.3E-01,1.7E-01,1.0E+02,8.5E+00,8.5E+00,7.0E-01,1.4E-01,1.8E+02,1.3E+01,1.3E+01,6.9E-01,2.0E-01,2.8E+02
Michalewicz,10,237905805,-3.999149952,-4.104851859,-4.398353472,-4.906612428,-4.376655885,-4.052738763,-4.038953702,-4.23129119,-4.652091295,-3.876477344,-4.017389358,-4.84044506,-4.305035548,-4.004454733,-5.456481324,-4.019631344,-4.81467778,-3.933851078,-4.287461067,-4.131000805,-3.978767711,-4.200758071,-4.666748853,-4.225260965,-4.561026384,-4.434761059,-4.327413084,-4.561779149,-4.782887614,-4.660872705,,-4.4E+00,-4.3E+00,1.6E+00,3.7E-01,2.4E+02,-6.0E+00,-6.0E+00,1.7E+00,4.9E-01,4.0E+02,-8.1E+00,-7.8E+00,3.5E+00,8.5E-01,6.2E+02
Master's Cosine Wave,10,103924178,-7.128925556,-7.248936359,-7.252114835,-7.002989224,-7.402759208,-6.781734588,-6.959496982,-7.210197065,-7.423589717,-7.651280757,-6.762652174,-8.06151985,-7.516017107,-6.716497397,-6.992212747,-7.077714323,-7.557164475,-7.025293185,-7.786531402,-6.557390837,-7.124149299,-7.228043919,-7.76667871,-7.276370342,-7.588176546,-7.436694146,-7.46620933,-7.277442776,-7.721808405,-6.637497232,,-7.3E+00,-7.3E+00,1.5E+00,3.7E-01,1.0E+02,-1.1E+01,-1.1E+01,3.0E+00,7.9E-01,1.9E+02,-1.4E+01,-1.4E+01,4.4E+00,1.3E+00,3.0E+02
Shekel's Foxhole,10,210436328,-0.271814186,-0.256966573,-0.299359593,-0.272026685,-0.262870164,-0.299240663,-0.284689048,-0.257306585,-0.260409228,-0.28768156,-0.269947626,-0.28981368,-0.309750115,-0.267978915,-0.275108633,-0.329702038,-0.274601995,-0.318441901,-0.276685487,-0.263205641,-0.278915244,-0.283426459,-0.267658287,-0.286306191,-0.268142525,-0.27641445,-0.293346994,-0.258103694,-0.297684874,-0.271466131,,-2.8E-01,-2.8E-01,7.3E-02,1.8E-02,2.1E+02,,,,,,,,,,
Schwefel,20,260301785,-8.16E+43,-2.39E+39,-9.64E+40,-1.68E+38,-2.21E+39,-1.79E+40,-4.19E+39,-7.42E+40,-8.87E+39,-9.76E+40,-1.94E+39,-1.19E+39,-4.19E+37,-4.40E+39,-4.47E+39,-5.76E+40,-1.94E+43,-2.50E+37,-2.61E+40,-8.27E+38,-1.58E+36,-1.81E+39,-3.58E+41,-4.11E+42,-1.81E+43,-8.83E+43,-5.15E+42,-5.04E+41,-9.14E+39,-3.74E+38,,,,,,,,,,,,,,,,
1st De Jong,20,23324313,26850.89519,37043.84457,39509.75447,36733.40786,37396.59092,33970.57498,42617.29155,33948.71962,23300.5731,40307.0833,38951.53998,35367.17035,38237.04228,43333.00171,39069.90738,32274.742,34128.78742,40233.28126,45470.29493,42884.17098,48793.2758,18421.99995,41712.15242,37407.43649,36870.83849,41931.35993,32819.59388,43154.47875,41215.81249,40322.02955,,,,,,,,,,,,,,,,
Rosenbrock,20,24864479,3847502.275,4045821.373,4031158.552,3434293.898,3845938.948,3481820.67,4065722.666,3835668.449,3308711.839,2348571.855,3486996.708,3906557.569,3373506.225,3760102.085,2797679.079,3806814.617,1274281.7,2371270.436,2943001.263,3862779.857,3061651.163,3725901.628,3820262.109,3117405.703,3281554.331,3554715.554,3799669.192,3354001.951,3831414.492,3180367.514,,,,,,,,,,,,,,,,
Rastrigin,20,109618319,129617.0238,123361.6653,126556.3436,120511.1623,132629.6688,128938.2784,119950.6455,121256.1279,131318.9391,116647.121,137988.5488,112070.0959,101938.8673,146619.7097,137887.0674,140151.4941,125248.7515,130882.7183,83412.48142,141619.2176,147383.4367,136056.2698,107346.1528,139301.0489,135495.8908,148625.8447,111370.4744,145324.0891,133829.154,143215.7771,,,,,,,,,,,,,,,,
Griewangk,20,195797845,258.3239194,160.5378077,243.9219934,248.2987026,187.1997582,273.9835411,265.4624271,262.9059829,202.3272734,287.0814308,230.3795381,217.9269463,267.3828008,255.5121732,233.2384194,220.9540057,252.908418,211.7374211,266.968895,215.6999019,267.2365439,263.5317799,162.3536176,197.8062408,202.2067998,224.1625369,239.5816871,208.9945666,260.0818502,185.8065616,,,,,,,,,,,,,,,,
Sine Envelope Sine Wave,20,163636511,-16.85430587,-16.95180411,-15.94903558,-17.08661987,-16.35369462,-16.01228739,-16.03695494,-17.31258734,-16.53779293,-16.62669087,-16.82113035,-16.08260117,-16.62142981,-17.54397047,-16.29247563,-16.30310378,-16.62394566,-17.74637243,-16.90813087,-17.00656941,-16.65213475,-16.10356127,-15.7761617,-16.93032351,-16.74519308,-17.54150853,-15.8656959,-17.33596904,-18.66601157,-17.03828328,,,,,,,,,,,,,,,,
Stretched V Sine Wave,20,431148382,37.83213158,43.69012158,39.58733191,44.90673372,42.04953431,44.65324473,42.91021345,40.82588446,46.42844724,39.53869535,40.20244578,46.63312219,45.10686971,40.82841197,36.91134041,42.90867308,42.68785823,37.58337283,45.68882735,42.20691291,45.30920624,44.63739202,43.58725966,46.72812037,42.36481576,43.99321039,43.07188623,44.08354435,48.08160616,41.95937872,,,,,,,,,,,,,,,,
Ackey's One,20,290418987,248.465539,290.0810838,286.1374699,255.3500371,251.7989766,247.3447677,254.5595124,219.1195881,255.3138905,278.0762439,281.0693407,288.3357099,287.353918,290.7378486,264.5153367,297.2725949,254.1454734,268.2868574,236.148175,247.8685077,254.0043974,273.0716704,208.8078666,286.9527672,286.8580746,281.7352847,265.3023657,260.8620681,204.1301775,275.119035,,,,,,,,,,,,,,,,
